                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.45467,                0.38653,                0.86064,                0.89028,                0.88248,                0.93055,                0.85676,                0.40398,                0.41927,                0.85007,             0.00075932,             0.00075932,             0.00075932
                     57,                0.45606,                0.38248,                0.86169,                0.88813,                0.87245,                0.92444,                0.84457,                0.41123,                0.43122,                0.85842,             0.00074282,             0.00074282,             0.00074282
                     58,                0.45262,                0.37986,                0.86128,                0.91094,                0.86005,                0.92769,                0.85217,                0.40199,                0.41541,                0.85279,             0.00072631,             0.00072631,             0.00072631
                     59,                0.45311,                0.37739,                0.86133,                 0.8973,                0.87349,                 0.9301,                0.85274,                0.40969,                0.42696,                0.85644,             0.00070981,             0.00070981,             0.00070981
                     60,                  0.451,                0.37087,                0.85829,                0.89222,                0.89107,                0.92797,                0.85053,                0.40834,                0.41256,                0.85717,             0.00069331,             0.00069331,             0.00069331
                     61,                0.44728,                0.36811,                0.85773,                0.88873,                0.88478,                0.93327,                0.85796,                0.40651,                 0.4178,                0.85679,              0.0006768,              0.0006768,              0.0006768
                     62,                0.44915,                0.36751,                0.85852,                0.90478,                0.87355,                0.93313,                0.85656,                0.40163,                0.41253,                0.85489,              0.0006603,              0.0006603,              0.0006603
                     63,                0.44546,                0.36267,                0.85847,                0.89947,                 0.8729,                0.92979,                0.85765,                0.40043,                0.41672,                0.85336,              0.0006438,              0.0006438,              0.0006438
                     64,                0.44295,                0.35882,                0.85878,                0.87897,                0.89737,                0.93372,                0.85874,                0.40067,                0.40828,                0.85639,             0.00062729,             0.00062729,             0.00062729
                     65,                0.44799,                0.36182,                0.85708,                0.89452,                0.88989,                0.93393,                0.85942,                0.40277,                0.40893,                0.85673,             0.00061079,             0.00061079,             0.00061079
                     66,                0.44677,                 0.3586,                0.85637,                0.90908,                0.86877,                  0.932,                0.85998,                0.39982,                 0.4151,                0.85437,             0.00059429,             0.00059429,             0.00059429
                     67,                0.44244,                0.35021,                0.85588,                0.90833,                 0.8792,                0.93301,                0.86011,                0.39717,                0.40777,                0.85202,             0.00057778,             0.00057778,             0.00057778
                     68,                0.44338,                0.34933,                0.85605,                0.89469,                 0.8885,                0.93141,                0.85548,                0.39853,                 0.4101,                0.84925,             0.00056128,             0.00056128,             0.00056128
                     69,                0.43826,                0.34655,                0.85391,                0.89393,                0.87913,                 0.9322,                0.86003,                0.39527,                 0.4117,                0.84662,             0.00054478,             0.00054478,             0.00054478
                     70,                0.43344,                 0.3432,                0.85227,                0.90996,                0.86601,                0.93156,                0.85769,                0.39388,                0.41455,                0.84306,             0.00052827,             0.00052827,             0.00052827
                     71,                0.43624,                  0.342,                0.85467,                0.90451,                0.87873,                0.93481,                0.86317,                0.39797,                0.40958,                0.84922,             0.00051177,             0.00051177,             0.00051177
                     72,                0.43831,                0.33825,                0.85359,                0.90715,                0.86817,                0.92865,                 0.8549,                0.39925,                0.42301,                 0.8511,             0.00049527,             0.00049527,             0.00049527
                     73,                0.43677,                0.33373,                0.85307,                0.91201,                0.86886,                0.93064,                0.85574,                0.39773,                0.40888,                0.84924,             0.00047876,             0.00047876,             0.00047876
